"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U301","TSOP48","4865mil","385mil","4865mil","385mil","4865mil","285mil","T","90.00","38kHZ IR receiver"
"R304","ERA-0603","5185mil","465mil","5185mil","465mil","5218.465mil","465mil","T","180.00","220R"
"R303","ERA-0603","4980mil","2060mil","4980mil","2060mil","5013.465mil","2060mil","T","180.00","100K"
"D303","PIN2","4840mil","2110mil","4840mil","2060mil","4840mil","2060mil","T","90.00","Photo Sen"
"C303","0805","5070mil","420mil","5070mil","420mil","5070mil","457.402mil","T","270.00","10uF"
"C302","0603","4980mil","2120mil","4980mil","2120mil","4946.535mil","2120mil","T","360.00","50V"
"C108","1210","880mil","390mil","880mil","390mil","880mil","445.118mil","B","270.00","C1210"
"R129","ERA-0603","1172mil","1950mil","1172mil","1950mil","1138.535mil","1950mil","T","360.00","220K"
"D113","SOD323","1190mil","1881mil","1190mil","1881mil","1143.74mil","1881mil","T","180.00","1N4148"
"R128","ERA-0805","609mil","1834mil","609mil","1834mil","609mil","1871.401mil","B","270.00","3K3"
"R127","ERA-0805","716mil","1582mil","716mil","1582mil","716mil","1619.401mil","B","270.00","10K"
"R126","ERA-0805","850mil","1557mil","850mil","1557mil","850mil","1519.599mil","B","90.00","220K"
"R125","ERA-0805","849mil","1703mil","849mil","1703mil","849mil","1740.401mil","B","270.00","220K"
"R124","12-1812","580mil","1265mil","580mil","1265mil","499.291mil","1265mil","T","360.00","1812"
"Q107","SOT223_N","475mil","1617mil","475mil","1617mil","593.11mil","1707.551mil","B","180.00","PBHV8540Z"
"Q106","SOT223_N","395mil","1302mil","395mil","1302mil","513.11mil","1392.551mil","B","180.00","PBHV9540Z"
"R209","ERA-0603","2430mil","715mil","2430mil","715mil","2463.465mil","715mil","T","180.00","15K"
"C208","0603","2910mil","1890mil","2910mil","1890mil","2910mil","1923.464mil","T","270.00","220nF"
"U300","MCHP-SOIC-SN8_N","4085mil","1970mil","4085mil","1970mil","4180.472mil","2045mil","B","180.00","PIC12F1822T-I/SN"
"U201","SOP8","2121.732mil","1075mil","2230mil","1000mil","2230mil","1000mil","T","180.00","ADuM1201"
"U200","STM-TSSOP20_N","2655mil","675mil","2655mil","675mil","2770.157mil","787.205mil","T","270.00","STM32F030F4P6"
"U100","ZZ311","1045mil","474.999mil","1045mil","475mil","912.126mil","565.55mil","T","270.00","REG1117-3.3"
"R302","ERA-0603","3695mil","1045mil","3695mil","1045mil","3695mil","1078.465mil","B","270.00","22R"
"R301","ERA-0603","3695mil","1226.748mil","3695mil","1226.748mil","3695mil","1260.213mil","B","270.00","22R"
"R300","ERA-0603","3695mil","1408.496mil","3695mil","1408.496mil","3695mil","1441.96mil","B","270.00","100R"
"R208","ERA-0603","2060mil","1300mil","2060mil","1300mil","2060mil","1333.465mil","T","270.00","1K"
"R207","ERA-0603","2340mil","1070mil","2340mil","1070mil","2373.465mil","1070mil","T","180.00","1K"
"R206","ERA-0603","2090mil","895mil","2090mil","895mil","2090mil","861.535mil","T","90.00","2K2"
"R205","ERA-0603","2340mil","1010mil","2340mil","1010mil","2306.535mil","1010mil","T","360.00","2K2"
"R204","ERA-0603","2430mil","785mil","2430mil","785mil","2463.465mil","785mil","T","180.00","10K"
"R203","ERA-0603","2830mil","300mil","2830mil","300mil","2796.535mil","300mil","T","360.00","10K"
"R202","ERA-0603","2925mil","265mil","2925mil","265mil","2925mil","231.536mil","T","90.00","10K"
"R201","ERA-0603","2985mil","265mil","2985mil","265mil","2985mil","231.536mil","T","90.00","1K"
"R200","ERA-0603","3045mil","265mil","3045mil","265mil","3045mil","231.536mil","T","90.00","1K"
"R123","ERA-0603","485mil","348.554mil","485mil","348.554mil","518.465mil","348.554mil","B","180.00","10K"
"R122","ERA-0805","423mil","1063mil","423mil","1063mil","385.599mil","1063mil","B","360.00","0802"
"R121","ERA-0805","274mil","1063mil","274mil","1063mil","236.599mil","1063mil","B","360.00","0802"
"R120","ERA-0805","155mil","1027mil","155mil","1027mil","155mil","989.598mil","B","90.00","0802"
"R119","ERA-0603","710mil","998mil","710mil","998mil","710mil","964.535mil","B","90.00","22R"
"R214","ERA-0603","2562.598mil","1313.661mil","2562.598mil","1313.661mil","2529.134mil","1313.661mil","T","360.00","3K3"
"R213","ERA-0603","2697.598mil","1313.661mil","2697.598mil","1313.661mil","2731.063mil","1313.661mil","T","180.00","47K"
"R115","ERA-0603","1068mil","1045mil","1068mil","1045mil","1068mil","1078.465mil","B","270.00","3K3"
"R212","ERA-0603","2645mil","1750mil","2645mil","1750mil","2645mil","1716.535mil","T","90.00","15K"
"R211","ERA-0603","2682.598mil","1418.661mil","2682.598mil","1418.661mil","2682.598mil","1452.126mil","T","270.00","1K"
"R112","ERA-0805","507mil","1842mil","507mil","1842mil","507mil","1879.401mil","T","270.00","0802"
"R111","ERA-0603","581mil","1842mil","581mil","1842mil","581mil","1875.465mil","T","270.00","100K"
"R110","ERA-0603","709mil","811mil","709mil","811mil","709mil","777.535mil","T","90.00","47K"
"R210","ERA-0603","2767.598mil","1418.661mil","2767.598mil","1418.661mil","2767.598mil","1452.126mil","T","270.00","10K"
"R108","ERA-0603","773mil","811mil","773mil","811mil","773mil","777.535mil","T","90.00","47K"
"R107","ERA-0603","842mil","687mil","842mil","687mil","808.535mil","687mil","T","360.00","150K"
"R106","12-1812","335mil","1265mil","335mil","1265mil","254.291mil","1265mil","T","360.00","1812"
"R105","12-1812","335mil","1475mil","335mil","1475mil","415.709mil","1475mil","T","180.00","1812"
"R104","12-1812","578.333mil","1475mil","578.333mil","1475mil","659.042mil","1475mil","T","180.00","1812"
"R103","12-1812","821.667mil","1475mil","821.667mil","1475mil","902.375mil","1475mil","T","180.00","1812"
"R102","12-1812","1065mil","1475mil","1065mil","1475mil","1145.708mil","1475mil","T","180.00","1812"
"R101","12-1812","1075mil","1695mil","1075mil","1695mil","994.291mil","1695mil","T","360.00","1812"
"R100","12-1812","805mil","1695mil","805mil","1695mil","724.291mil","1695mil","T","360.00","1812"
"Q201","SOT23_N","1940mil","1295mil","1940mil","1295mil","1898.661mil","1332.402mil","T","360.00","MMBT3906"
"Q200","SOT23_N","2360mil","1175mil","2360mil","1175mil","2401.339mil","1137.598mil","T","180.00","MMBT3906"
"Q105","SOT23_N","1020mil","785mil","1020mil","785mil","982.598mil","743.661mil","T","90.00","MMBT2222"
"Q204","SOT23_N","2572.598mil","1428.661mil","2572.598mil","1428.661mil","2610mil","1470mil","T","270.00","MMBT2222"
"Q203","SOT23_N","2572.598mil","1593.661mil","2572.598mil","1593.661mil","2610mil","1635mil","T","270.00","MMBT3906"
"Q102","ONSC-TO-220-3-221A-09","883mil","1031mil","883mil","1031mil","983mil","1031mil","T","270.00","NGTB15N60EG"
"Q202","SOT23_N","2722.598mil","1593.661mil","2722.598mil","1593.661mil","2760mil","1635mil","T","270.00","MMBT2222"
"Q100","SOT23_N","875mil","794mil","875mil","794mil","837.598mil","752.661mil","T","90.00","MMBT2222"
"P302","HDR1X5","3850mil","1895mil","3850mil","1695mil","3850mil","1695mil","T","90.00","ICSP"
"P301","HDR2X4","4505mil","337mil","4355mil","287mil","4355mil","287mil","T","360.00","CON_B"
"P300","HDR2X4","4503mil","2112mil","4353mil","2062mil","4353mil","2062mil","T","360.00","CON_A"
"P203","HDR1X3","1900mil","1020mil","1900mil","920mil","1900mil","920mil","T","90.00","COM"
"P202","HDR2X4","2646mil","157mil","2496mil","107mil","2496mil","107mil","T","360.00","CON_B"
"P201","HDR2X4","2644mil","1928mil","2494mil","1878mil","2494mil","1878mil","T","360.00","CON_A"
"P200","HDR1X3","2985mil","500mil","2985mil","400mil","2985mil","400mil","T","90.00","ICSP"
"P104","HDR2X4","865mil","157mil","715mil","107mil","715mil","107mil","T","360.00","CON_B"
"P103","HDR2X4","865mil","1930mil","715mil","1880mil","715mil","1880mil","T","360.00","CON_A"
"P100","Single_Wire_Lug","1490mil","1377.953mil","1490mil","1410mil","1490mil","1377.953mil","T","360.00","Single Wire Lug"
"D302","1.6X0.8X0.8","3855mil","1070mil","3855mil","1070mil","3855mil","1099.528mil","T","270.00","LED_BLUE"
"D301","1.6X0.8X0.8","3855mil","1232.5mil","3855mil","1232.5mil","3855mil","1262.028mil","T","270.00","LED_GREEN"
"D300","1.6X0.8X0.8","3855mil","1395mil","3855mil","1395mil","3855mil","1424.528mil","T","270.00","LED_RED"
"D112","SOD323","504.685mil","433mil","504.685mil","433mil","458.425mil","433mil","B","180.00","1N4148"
"D111","DO214","577mil","956mil","577mil","956mil","577mil","1046.551mil","B","270.00","1N4007"
"D110","SOD323","504.685mil","209mil","504.685mil","209mil","550.945mil","209mil","B","360.00","1N4148"
"D109","INF-SOT89_N","770mil","731.992mil","770mil","794mil","829.055mil","732.976mil","B","90.00","MCR100-8"
"D108","DO214","1500mil","1045mil","1500mil","1045mil","1409.449mil","1045mil","B","360.00","S3M"
"D107","DO214","1270mil","1140mil","1270mil","1140mil","1270mil","1049.449mil","B","90.00","S3M"
"D106","SOD323","1150mil","775mil","1150mil","775mil","1150mil","821.26mil","T","90.00","16V"
"D105","ONSC-SMC-2-403-03_V","915mil","1265mil","915mil","1265mil","774.508mil","1265mil","T","360.00","P4SMA400A"
"D104","DO214","1500mil","1045mil","1500mil","1045mil","1590.551mil","1045mil","T","180.00","S3M"
"D103","DO214","1270mil","1140mil","1270mil","1140mil","1270mil","1230.551mil","T","270.00","S3M"
"D102","SOD323","690mil","686mil","690mil","686mil","736.26mil","686mil","T","360.00","8V2"
"D101","DO214","670mil","340mil","670mil","340mil","579.449mil","340mil","T","360.00","SMA"
"D100","DO214","95mil","1320mil","95mil","1320mil","95mil","1410.551mil","B","270.00","1N4007"
"C301","0603","4080mil","2110mil","4080mil","2110mil","4113.465mil","2110mil","B","180.00","50V"
"C300","0805","4080mil","2180mil","4080mil","2180mil","4117.401mil","2180mil","B","180.00","50V"
"C207","0805","2400mil","595mil","2400mil","595mil","2400mil","632.402mil","T","270.00","50V"
"C206","0603","2895mil","775mil","2895mil","775mil","2895mil","741.535mil","T","90.00","50V"
"C205","0603","2955mil","775mil","2955mil","775mil","2955mil","741.535mil","T","90.00","50V"
"C204","0603","2470mil","603.465mil","2470mil","603.465mil","2470mil","636.929mil","T","270.00","50V"
"C203","0603","2835mil","775mil","2835mil","775mil","2835mil","741.535mil","T","90.00","50V"
"C202","0603","1990mil","880mil","1990mil","880mil","1990mil","913.464mil","T","270.00","100nF"
"C201","0603","2305mil","905mil","2305mil","905mil","2305mil","938.464mil","T","270.00","100nF"
"C200","0805","2030mil","770mil","2030mil","770mil","2067.401mil","770mil","T","180.00","50V"
"C107","0603","484.999mil","286mil","484.999mil","286mil","518.463mil","286mil","B","180.00","100nF"
"C106","0603","1129mil","1045mil","1129mil","1045mil","1129mil","1011.536mil","B","90.00","22nF"
"C105","0603","815mil","530mil","815mil","530mil","815mil","563.464mil","T","270.00","100nF"
"C104","0603","770mil","435mil","770mil","435mil","736.536mil","435mil","T","360.00","100nF"
"C103","1210","716mil","355mil","716mil","355mil","771.118mil","355mil","B","180.00","C1210"
"C102","1210","715mil","620mil","715mil","620mil","770.118mil","620mil","B","180.00","C1210"
"C101","1210","715mil","480mil","715mil","480mil","770.118mil","480mil","B","180.00","C1210"
"C100","1210","880mil","585mil","880mil","585mil","880mil","529.882mil","B","90.00","C1210"
"P101","Single_Wire_Lug","1490mil","710mil","1490mil","710mil","1490mil","710mil","T","180.00","Single Wire Lug"
"P102","Single_Wire_Lug","240mil","710mil","240mil","710mil","240mil","710mil","T","180.00","Single Wire Lug"
"R109","14-1210","615mil","960mil","615mil","960mil","615mil","904.882mil","T","90.00","1210"

